"Company Name","Code","pointT","NameOfStock"
"ADVANTEST CORP.",6857,".T","ADVANTEST CORP.,6857.T"
"AEON CO. LTD.",8267,".T","AEON CO. LTD.,8267.T"
"AGC INC.",5201,".T","AGC INC.,5201.T"
"AJINOMOTO CO. INC.",2802,".T","AJINOMOTO CO. INC.,2802.T"
"ALPS ALPINE CO. LTD.",6770,".T","ALPS ALPINE CO. LTD.,6770.T"
"AMADA CO. LTD.",6113,".T","AMADA CO. LTD.,6113.T"
"ANA HOLDINGS INC.",9202,".T","ANA HOLDINGS INC.,9202.T"
"AOZORA BANK LTD.",8304,".T","AOZORA BANK LTD.,8304.T"
"ASAHI GROUP HOLDINGS LTD.",2502,".T","ASAHI GROUP HOLDINGS LTD.,2502.T"
"ASAHI KASEI CORP.",3407,".T","ASAHI KASEI CORP.,3407.T"
"ASTELLAS PHARMA INC.",4503,".T","ASTELLAS PHARMA INC.,4503.T"
"BANDAI NAMCO HOLDINGS INC.",7832,".T","BANDAI NAMCO HOLDINGS INC.,7832.T"
"BRIDGESTONE CORP.",5108,".T","BRIDGESTONE CORP.,5108.T"
"CANON INC.",7751,".T","CANON INC.,7751.T"
"CASIO COMPUTER CO. LTD.",6952,".T","CASIO COMPUTER CO. LTD.,6952.T"
"CENTRAL JAPAN RAILWAY CO. LTD.",9022,".T","CENTRAL JAPAN RAILWAY CO. LTD.,9022.T"
"CHUBU ELECTRIC POWER CO. INC.",9502,".T","CHUBU ELECTRIC POWER CO. INC.,9502.T"
"CHUGAI PHARMACEUTICAL CO. LTD.",4519,".T","CHUGAI PHARMACEUTICAL CO. LTD.,4519.T"
"CITIZEN WATCH CO. LTD.",7762,".T","CITIZEN WATCH CO. LTD.,7762.T"
"COMSYS HOLDINGS CORP.",1721,".T","COMSYS HOLDINGS CORP.,1721.T"
"CONCORDIA FINANCIAL GROUP LTD.",7186,".T","CONCORDIA FINANCIAL GROUP LTD.,7186.T"
"CREDIT SAISON CO. LTD.",8253,".T","CREDIT SAISON CO. LTD.,8253.T"
"CYBERAGENT INC.",4751,".T","CYBERAGENT INC.,4751.T"
"DAI NIPPON PRINTING CO. LTD.",7912,".T","DAI NIPPON PRINTING CO. LTD.,7912.T"
"DAI-ICHI LIFE HOLDINGS INC.",8750,".T","DAI-ICHI LIFE HOLDINGS INC.,8750.T"
"DAIICHI SANKYO CO. LTD.",4568,".T","DAIICHI SANKYO CO. LTD.,4568.T"
"DAIKIN INDUSTRIES LTD.",6367,".T","DAIKIN INDUSTRIES LTD.,6367.T"
"DAIWA HOUSE IND. CO. LTD.",1925,".T","DAIWA HOUSE IND. CO. LTD.,1925.T"
"DAIWA SECURITIES GROUP INC.",8601,".T","DAIWA SECURITIES GROUP INC.,8601.T"
"DENA CO. LTD.",2432,".T","DENA CO. LTD.,2432.T"
"DENKA CO. LTD.",4061,".T","DENKA CO. LTD.,4061.T"
"DENSO CORP.",6902,".T","DENSO CORP.,6902.T"
"DENTSU GROUP INC.",4324,".T","DENTSU GROUP INC.,4324.T"
"DIC CORP.",4631,".T","DIC CORP.,4631.T"
"DOWA HOLDINGS CO. LTD.",5714,".T","DOWA HOLDINGS CO. LTD.,5714.T"
"EAST JAPAN RAILWAY CO.",9020,".T","EAST JAPAN RAILWAY CO.,9020.T"
"EBARA CORP.",6361,".T","EBARA CORP.,6361.T"
"EISAI CO. LTD.",4523,".T","EISAI CO. LTD.,4523.T"
"ENEOS HOLDINGS INC.",5020,".T","ENEOS HOLDINGS INC.,5020.T"
"FANUC CORP.",6954,".T","FANUC CORP.,6954.T"
"FAST RETAILING CO. LTD.",9983,".T","FAST RETAILING CO. LTD.,9983.T"
"FUJI ELECTRIC CO. LTD.",6504,".T","FUJI ELECTRIC CO. LTD.,6504.T"
"FUJIFILM HOLDINGS CORP.",4901,".T","FUJIFILM HOLDINGS CORP.,4901.T"
"FUJIKURA LTD.",5803,".T","FUJIKURA LTD.,5803.T"
"FUJITSU LTD.",6702,".T","FUJITSU LTD.,6702.T"
"FUKUOKA FINANCIAL GROUP INC.",8354,".T","FUKUOKA FINANCIAL GROUP INC.,8354.T"
"FURUKAWA ELECTRIC CO. LTD.",5801,".T","FURUKAWA ELECTRIC CO. LTD.,5801.T"
"GS YUASA CORP.",6674,".T","GS YUASA CORP.,6674.T"
"HASEKO CORP.",1808,".T","HASEKO CORP.,1808.T"
"HINO MOTORS LTD.",7205,".T","HINO MOTORS LTD.,7205.T"
"HITACHI CONST. MACH. CO. LTD.",6305,".T","HITACHI CONST. MACH. CO. LTD.,6305.T"
"HITACHI ZOSEN CORP.",7004,".T","HITACHI ZOSEN CORP.,7004.T"
"HITACHI LTD.",6501,".T","HITACHI LTD.,6501.T"
"HONDA MOTOR CO. LTD.",7267,".T","HONDA MOTOR CO. LTD.,7267.T"
"IDEMITSU KOSAN CO. LTD.",5019,".T","IDEMITSU KOSAN CO. LTD.,5019.T"
"IHI CORP.",7013,".T","IHI CORP.,7013.T"
"INPEX CORP.",1605,".T","INPEX CORP.,1605.T"
"ISETAN MITSUKOSHI HOLDINGS LTD.",3099,".T","ISETAN MITSUKOSHI HOLDINGS LTD.,3099.T"
"ISUZU MOTORS LTD.",7202,".T","ISUZU MOTORS LTD.,7202.T"
"ITOCHU CORP.",8001,".T","ITOCHU CORP.,8001.T"
"J.FRONT RETAILING CO. LTD.",3086,".T","J.FRONT RETAILING CO. LTD.,3086.T"
"JAPAN EXCHANGE GROUP INC.",8697,".T","JAPAN EXCHANGE GROUP INC.,8697.T"
"JAPAN POST HOLDINGS CO. LTD.",6178,".T","JAPAN POST HOLDINGS CO. LTD.,6178.T"
"JAPAN TOBACCO INC.",2914,".T","JAPAN TOBACCO INC.,2914.T"
"JFE HOLDINGS INC.",5411,".T","JFE HOLDINGS INC.,5411.T"
"JGC HOLDINGS CORP.",1963,".T","JGC HOLDINGS CORP.,1963.T"
"JTEKT CORP.",6473,".T","JTEKT CORP.,6473.T"
"KAJIMA CORP.",1812,".T","KAJIMA CORP.,1812.T"
"KAO CORP.",4452,".T","KAO CORP.,4452.T"
"KAWASAKI HEAVY IND. LTD.",7012,".T","KAWASAKI HEAVY IND. LTD.,7012.T"
"KAWASAKI KISEN KAISHA LTD.",9107,".T","KAWASAKI KISEN KAISHA LTD.,9107.T"
"KDDI CORP.",9433,".T","KDDI CORP.,9433.T"
"KEIO CORP.",9008,".T","KEIO CORP.,9008.T"
"KEISEI ELECTRIC RAILWAY CO. LTD.",9009,".T","KEISEI ELECTRIC RAILWAY CO. LTD.,9009.T"
"KIKKOMAN CORP.",2801,".T","KIKKOMAN CORP.,2801.T"
"KIRIN HOLDINGS CO. LTD.",2503,".T","KIRIN HOLDINGS CO. LTD.,2503.T"
"KOBE STEEL LTD.",5406,".T","KOBE STEEL LTD.,5406.T"
"KOMATSU LTD.",6301,".T","KOMATSU LTD.,6301.T"
"KONAMI HOLDINGS CORP.",9766,".T","KONAMI HOLDINGS CORP.,9766.T"
"KONICA MINOLTA INC.",4902,".T","KONICA MINOLTA INC.,4902.T"
"KUBOTA CORP.",6326,".T","KUBOTA CORP.,6326.T"
"KURARAY CO. LTD.",3405,".T","KURARAY CO. LTD.,3405.T"
"KYOCERA CORP.",6971,".T","KYOCERA CORP.,6971.T"
"KYOWA KIRIN CO. LTD.",4151,".T","KYOWA KIRIN CO. LTD.,4151.T"
"M3 INC.",2413,".T","M3 INC.,2413.T"
"MARUBENI CORP.",8002,".T","MARUBENI CORP.,8002.T"
"MARUHA NICHIRO CORP.",1333,".T","MARUHA NICHIRO CORP.,1333.T"
"MARUI GROUP CO. LTD.",8252,".T","MARUI GROUP CO. LTD.,8252.T"
"MATSUI SECURITIES CO. LTD.",8628,".T","MATSUI SECURITIES CO. LTD.,8628.T"
"MAZDA MOTOR CORP.",7261,".T","MAZDA MOTOR CORP.,7261.T"
"MEIJI HOLDINGS CO. LTD.",2269,".T","MEIJI HOLDINGS CO. LTD.,2269.T"
"MINEBEA MITSUMI INC.",6479,".T","MINEBEA MITSUMI INC.,6479.T"
"MITSUBISHI CHEMICAL HOLDINGS CORP.",4188,".T","MITSUBISHI CHEMICAL HOLDINGS CORP.,4188.T"
"MITSUBISHI CORP.",8058,".T","MITSUBISHI CORP.,8058.T"
"MITSUBISHI ELECTRIC CORP.",6503,".T","MITSUBISHI ELECTRIC CORP.,6503.T"
"MITSUBISHI ESTATE CO. LTD.",8802,".T","MITSUBISHI ESTATE CO. LTD.,8802.T"
"MITSUBISHI HEAVY IND. LTD.",7011,".T","MITSUBISHI HEAVY IND. LTD.,7011.T"
"MITSUBISHI LOGISTICS CORP.",9301,".T","MITSUBISHI LOGISTICS CORP.,9301.T"
"MITSUBISHI MATERIALS CORP.",5711,".T","MITSUBISHI MATERIALS CORP.,5711.T"
"MITSUBISHI MOTORS CORP.",7211,".T","MITSUBISHI MOTORS CORP.,7211.T"
"MITSUBISHI UFJ FINANCIAL GROUP INC.",8306,".T","MITSUBISHI UFJ FINANCIAL GROUP INC.,8306.T"
"MITSUI & CO. LTD.",8031,".T","MITSUI & CO. LTD.,8031.T"
"MITSUI CHEMICALS INC.",4183,".T","MITSUI CHEMICALS INC.,4183.T"
"MITSUI E&S HOLDINGS CO. LTD.",7003,".T","MITSUI E&S HOLDINGS CO. LTD.,7003.T"
"MITSUI FUDOSAN CO. LTD.",8801,".T","MITSUI FUDOSAN CO. LTD.,8801.T"
"MITSUI MINING & SMELTING CO.",5706,".T","MITSUI MINING & SMELTING CO.,5706.T"
"MITSUI O.S.K.LINES LTD.",9104,".T","MITSUI O.S.K.LINES LTD.,9104.T"
"MIZUHO FINANCIAL GROUP INC.",8411,".T","MIZUHO FINANCIAL GROUP INC.,8411.T"
"MS&AD INSURANCE GROUP HOLDINGS INC.",8725,".T","MS&AD INSURANCE GROUP HOLDINGS INC.,8725.T"
"NEC CORP.",6701,".T","NEC CORP.,6701.T"
"NEXON CO. LTD.",3659,".T","NEXON CO. LTD.,3659.T"
"NGK INSULATORS LTD.",5333,".T","NGK INSULATORS LTD.,5333.T"
"NH FOODS LTD.",2282,".T","NH FOODS LTD.,2282.T"
"NICHIREI CORP.",2871,".T","NICHIREI CORP.,2871.T"
"NIKON CORP.",7731,".T","NIKON CORP.,7731.T"
"NIPPON ELECTRIC GLASS CO. LTD.",5214,".T","NIPPON ELECTRIC GLASS CO. LTD.,5214.T"
"NIPPON EXPRESS CO. LTD.",9062,".T","NIPPON EXPRESS CO. LTD.,9062.T"
"NIPPON LIGHT METAL HOLDINGS CO. LTD.",5703,".T","NIPPON LIGHT METAL HOLDINGS CO. LTD.,5703.T"
"NIPPON PAPER INDUSTRIES CO. LTD.",3863,".T","NIPPON PAPER INDUSTRIES CO. LTD.,3863.T"
"NIPPON SHEET GLASS CO. LTD.",5202,".T","NIPPON SHEET GLASS CO. LTD.,5202.T"
"NIPPON STEEL CORP.",5401,".T","NIPPON STEEL CORP.,5401.T"
"NIPPON SUISAN KAISHA LTD.",1332,".T","NIPPON SUISAN KAISHA LTD.,1332.T"
"NIPPON TELEGRAPH & TELEPHONE CORP.",9432,".T","NIPPON TELEGRAPH & TELEPHONE CORP.,9432.T"
"NIPPON YUSEN K.K.",9101,".T","NIPPON YUSEN K.K.,9101.T"
"NISSAN CHEMICAL CORP.",4021,".T","NISSAN CHEMICAL CORP.,4021.T"
"NISSAN MOTOR CO. LTD.",7201,".T","NISSAN MOTOR CO. LTD.,7201.T"
"NISSHIN SEIFUN GROUP INC.",2002,".T","NISSHIN SEIFUN GROUP INC.,2002.T"
"NISSHINBO HOLDINGS INC.",3105,".T","NISSHINBO HOLDINGS INC.,3105.T"
"NITTO DENKO CORP.",6988,".T","NITTO DENKO CORP.,6988.T"
"NOMURA HOLDINGS INC.",8604,".T","NOMURA HOLDINGS INC.,8604.T"
"NSK LTD.",6471,".T","NSK LTD.,6471.T"
"NTN CORP.",6472,".T","NTN CORP.,6472.T"
"NTT DATA CORP.",9613,".T","NTT DATA CORP.,9613.T"
"OBAYASHI CORP.",1802,".T","OBAYASHI CORP.,1802.T"
"ODAKYU ELECTRIC RAILWAY CO. LTD.",9007,".T","ODAKYU ELECTRIC RAILWAY CO. LTD.,9007.T"
"OJI HOLDINGS CORP.",3861,".T","OJI HOLDINGS CORP.,3861.T"
"OKI ELECTRIC IND. CO. LTD.",6703,".T","OKI ELECTRIC IND. CO. LTD.,6703.T"
"OKUMA CORP.",6103,".T","OKUMA CORP.,6103.T"
"OLYMPUS CORP.",7733,".T","OLYMPUS CORP.,7733.T"
"OMRON CORP.",6645,".T","OMRON CORP.,6645.T"
"OSAKA GAS CO. LTD.",9532,".T","OSAKA GAS CO. LTD.,9532.T"
"OTSUKA HOLDINGS CO. LTD.",4578,".T","OTSUKA HOLDINGS CO. LTD.,4578.T"
"PACIFIC METALS CO. LTD.",5541,".T","PACIFIC METALS CO. LTD.,5541.T"
"PANASONIC CORP.",6752,".T","PANASONIC CORP.,6752.T"
"RAKUTEN INC.",4755,".T","RAKUTEN INC.,4755.T"
"RECRUIT HOLDINGS CO. LTD.",6098,".T","RECRUIT HOLDINGS CO. LTD.,6098.T"
"RESONA HOLDINGS INC.",8308,".T","RESONA HOLDINGS INC.,8308.T"
"RICOH CO. LTD.",7752,".T","RICOH CO. LTD.,7752.T"
"SAPPORO HOLDINGS LTD.",2501,".T","SAPPORO HOLDINGS LTD.,2501.T"
"SCREEN HOLDINGS CO. LTD.",7735,".T","SCREEN HOLDINGS CO. LTD.,7735.T"
"SECOM CO. LTD.",9735,".T","SECOM CO. LTD.,9735.T"
"SEIKO EPSON CORP.",6724,".T","SEIKO EPSON CORP.,6724.T"
"SEKISUI HOUSE LTD.",1928,".T","SEKISUI HOUSE LTD.,1928.T"
"SEVEN & I HOLDINGS CO. LTD.",3382,".T","SEVEN & I HOLDINGS CO. LTD.,3382.T"
"SHARP CORP.",6753,".T","SHARP CORP.,6753.T"
"SHIMIZU CORP.",1803,".T","SHIMIZU CORP.,1803.T"
"SHIN-ETSU CHEMICAL CO. LTD.",4063,".T","SHIN-ETSU CHEMICAL CO. LTD.,4063.T"
"SHINSEI BANK LTD.",8303,".T","SHINSEI BANK LTD.,8303.T"
"SHIONOGI & CO. LTD.",4507,".T","SHIONOGI & CO. LTD.,4507.T"
"SHISEIDO CO. LTD.",4911,".T","SHISEIDO CO. LTD.,4911.T"
"SHOWA DENKO K.K.",4004,".T","SHOWA DENKO K.K.,4004.T"
"SKY PERFECT JSAT HOLDINGS INC.",9412,".T","SKY PERFECT JSAT HOLDINGS INC.,9412.T"
"SOFTBANK CORP.",9434,".T","SOFTBANK CORP.,9434.T"
"SOFTBANK GROUP CORP.",9984,".T","SOFTBANK GROUP CORP.,9984.T"
"SOJITZ CORP.",2768,".T","SOJITZ CORP.,2768.T"
"SOMPO HOLDINGS INC.",8630,".T","SOMPO HOLDINGS INC.,8630.T"
"SONY CORP.",6758,".T","SONY CORP.,6758.T"
"SUBARU CORP.",7270,".T","SUBARU CORP.,7270.T"
"SUMCO CORP.",3436,".T","SUMCO CORP.,3436.T"
"SUMITOMO CHEMICAL CO. LTD.",4005,".T","SUMITOMO CHEMICAL CO. LTD.,4005.T"
"SUMITOMO CORP.",8053,".T","SUMITOMO CORP.,8053.T"
"SUMITOMO DAINIPPON PHARMA CO. LTD.",4506,".T","SUMITOMO DAINIPPON PHARMA CO. LTD.,4506.T"
"SUMITOMO ELECTRIC IND. LTD.",5802,".T","SUMITOMO ELECTRIC IND. LTD.,5802.T"
"SUMITOMO HEAVY IND. LTD.",6302,".T","SUMITOMO HEAVY IND. LTD.,6302.T"
"SUMITOMO METAL MINING CO. LTD.",5713,".T","SUMITOMO METAL MINING CO. LTD.,5713.T"
"SUMITOMO MITSUI FINANCIAL GROUP INC.",8316,".T","SUMITOMO MITSUI FINANCIAL GROUP INC.,8316.T"
"SUMITOMO MITSUI TRUST HOLDINGS INC.",8309,".T","SUMITOMO MITSUI TRUST HOLDINGS INC.,8309.T"
"SUMITOMO OSAKA CEMENT CO. LTD.",5232,".T","SUMITOMO OSAKA CEMENT CO. LTD.,5232.T"
"SUMITOMO REALTY & DEVELOPMENT CO. LTD.",8830,".T","SUMITOMO REALTY & DEVELOPMENT CO. LTD.,8830.T"
"SUZUKI MOTOR CORP.",7269,".T","SUZUKI MOTOR CORP.,7269.T"
"T&D HOLDINGS INC.",8795,".T","T&D HOLDINGS INC.,8795.T"
"TAIHEIYO CEMENT CORP.",5233,".T","TAIHEIYO CEMENT CORP.,5233.T"
"TAISEI CORP.",1801,".T","TAISEI CORP.,1801.T"
"TAIYO YUDEN CO. LTD.",6976,".T","TAIYO YUDEN CO. LTD.,6976.T"
"TAKARA HOLDINGS INC.",2531,".T","TAKARA HOLDINGS INC.,2531.T"
"TAKASHIMAYA CO. LTD.",8233,".T","TAKASHIMAYA CO. LTD.,8233.T"
"TAKEDA PHARMACEUTICAL CO. LTD.",4502,".T","TAKEDA PHARMACEUTICAL CO. LTD.,4502.T"
"TDK CORP.",6762,".T","TDK CORP.,6762.T"
"TEIJIN LTD.",3401,".T","TEIJIN LTD.,3401.T"
"TERUMO CORP.",4543,".T","TERUMO CORP.,4543.T"
"THE CHIBA BANK LTD.",8331,".T","THE CHIBA BANK LTD.,8331.T"
"THE JAPAN STEEL WORKS LTD.",5631,".T","THE JAPAN STEEL WORKS LTD.,5631.T"
"THE KANSAI ELECTRIC POWER CO. INC.",9503,".T","THE KANSAI ELECTRIC POWER CO. INC.,9503.T"
"THE SHIZUOKA BANK LTD.",8355,".T","THE SHIZUOKA BANK LTD.,8355.T"
"THE YOKOHAMA RUBBER CO. LTD.",5101,".T","THE YOKOHAMA RUBBER CO. LTD.,5101.T"
"TOBU RAILWAY CO. LTD.",9001,".T","TOBU RAILWAY CO. LTD.,9001.T"
"TOHO CO. LTD",9602,".T","TOHO CO. LTD,9602.T"
"TOHO ZINC CO. LTD.",5707,".T","TOHO ZINC CO. LTD.,5707.T"
"TOKAI CARBON CO. LTD.",5301,".T","TOKAI CARBON CO. LTD.,5301.T"
"TOKIO MARINE HOLDINGS INC.",8766,".T","TOKIO MARINE HOLDINGS INC.,8766.T"
"TOKUYAMA CORP.",4043,".T","TOKUYAMA CORP.,4043.T"
"TOKYO ELECTRIC POWER COMPANY HOLDINGS I",9501,".T","TOKYO ELECTRIC POWER COMPANY HOLDINGS I,9501.T"
"TOKYO ELECTRON LTD.",8035,".T","TOKYO ELECTRON LTD.,8035.T"
"TOKYO GAS CO. LTD.",9531,".T","TOKYO GAS CO. LTD.,9531.T"
"TOKYO TATEMONO CO. LTD.",8804,".T","TOKYO TATEMONO CO. LTD.,8804.T"
"TOKYU CORP.",9005,".T","TOKYU CORP.,9005.T"
"TOKYU FUDOSAN HOLDINGS CORP.",3289,".T","TOKYU FUDOSAN HOLDINGS CORP.,3289.T"
"TOPPAN PRINTING CO. LTD.",7911,".T","TOPPAN PRINTING CO. LTD.,7911.T"
"TORAY INDUSTRIES INC.",3402,".T","TORAY INDUSTRIES INC.,3402.T"
"TOSOH CORP.",4042,".T","TOSOH CORP.,4042.T"
"TOTO LTD.",5332,".T","TOTO LTD.,5332.T"
"TOYO SEIKAN GROUP HOLDINGS LTD.",5901,".T","TOYO SEIKAN GROUP HOLDINGS LTD.,5901.T"
"TOYOBO CO. LTD.",3101,".T","TOYOBO CO. LTD.,3101.T"
"TOYOTA MOTOR CORP.",7203,".T","TOYOTA MOTOR CORP.,7203.T"
"TOYOTA TSUSHO CORP.",8015,".T","TOYOTA TSUSHO CORP.,8015.T"
"TREND MICRO INC.",4704,".T","TREND MICRO INC.,4704.T"
"UBE INDUSTRIES LTD.",4208,".T","UBE INDUSTRIES LTD.,4208.T"
"UNITIKA LTD.",3103,".T","UNITIKA LTD.,3103.T"
"WEST JAPAN RAILWAY CO.",9021,".T","WEST JAPAN RAILWAY CO.,9021.T"
"YAMAHA CORP.",7951,".T","YAMAHA CORP.,7951.T"
"YAMAHA MOTOR CO. LTD.",7272,".T","YAMAHA MOTOR CO. LTD.,7272.T"
"YAMATO HOLDINGS CO. LTD.",9064,".T","YAMATO HOLDINGS CO. LTD.,9064.T"
"YASKAWA ELECTRIC CORP.",6506,".T","YASKAWA ELECTRIC CORP.,6506.T"
"YOKOGAWA ELECTRIC CORP.",6841,".T","YOKOGAWA ELECTRIC CORP.,6841.T"
"Z HOLDINGS CORP.",4689,".T","Z HOLDINGS CORP.,4689.T"
